id	released-user-and-workflow	observable-harm	affected-value-ac-or-boundary	trigger-evidence	recorded-class	expected-check
case-a-symlink-prototype	outside-promise: crafted symlink no supported path produces	none: supported workflow remains intact	none: trust-boundaries carve-out applies	outside-promise: adversarial-only crafted input	correct-but-disproportionate	accept
case-b-boot-taxonomy-drop	supported: every first officer normal boot	present: taxonomy field is absent	value-ac[AC-1]: boot reports the required classification	supported: normal status boot	material	accept
85-m1-prompt-surface-ceiling	supported: every first officer boot	present: prompt exceeds the byte ceiling	contract[internal/contractlint/contract_gate_test.go#TestFOFunctionPromptSurfaceShrinks]: prompt surface ceiling	supported: every boot loads the surface	material	accept
85-d1-unsupported-trigger	outside-promise: no released user path reaches the input	present: hypothetical operation could fail	value-ac[AC-3]: operation remains correct on supported inputs	outside-promise: only crafted input reaches it	correct-but-disproportionate	accept
control-user-workflow-only-false	outside-promise: no released user follows this path	present: operation would lose state	captain-ruling[2026-07-20]: data integrity requires preserving state	supported: the low-level trigger is reproducible	correct-but-disproportionate	accept
control-harm-only-false	supported: released user follows the normal path	none: user completes the operation	value-ac[AC-2]: operation completes successfully	supported: normal operation reaches the trigger	correct-but-disproportionate	accept
control-boundary-only-false	supported: released user follows the normal path	present: diagnostic wording differs	none: no value AC or non-negotiable boundary covers wording	supported: normal operation reaches the trigger	correct-but-disproportionate	accept
control-trigger-only-false	supported: released user would be affected	present: operation would lose state	contract[docs/specs/state.md#integrity]: data integrity requires preserving state	outside-promise: only crafted input reaches it	correct-but-disproportionate	accept
red-unknown-class	outside-promise: no released user follows this path	present: operation would lose state	contract[docs/specs/state.md#integrity]: data integrity requires preserving state	supported: the low-level trigger is reproducible	defered-risk	reject
red-material-recorded-declined	supported: every first officer normal boot	present: taxonomy field is absent	value-ac[AC-1]: boot reports the required classification	supported: normal status boot	correct-but-disproportionate	reject
cited-captain-ruling	supported: released user follows the normal path	present: operation loses state	captain-ruling[2026-07-20]: state writes stay path scoped	supported: normal operation reaches the trigger	material	accept
cited-contract	supported: released user follows the normal path	present: command output changes	contract[docs/specs/launcher.md#stable-output]: output is compatibility protected	supported: normal operation reaches the trigger	material	accept
red-uncited-boundary	supported: released user follows the normal path	present: operation loses state	value-ac: state remains durable	supported: normal operation reaches the trigger	correct-but-disproportionate	reject
red-blank-locator	supported: released user follows the normal path	present: operation loses state	contract[#integrity]: state remains durable	supported: normal operation reaches the trigger	material	reject
red-malformed-ac	supported: released user follows the normal path	present: operation loses state	value-ac[AC-0]: state remains durable	supported: normal operation reaches the trigger	material	reject
red-malformed-date	supported: released user follows the normal path	present: operation loses state	captain-ruling[2026-7-20]: state remains durable	supported: normal operation reaches the trigger	material	reject
red-blank-claim	supported: released user follows the normal path	present: operation loses state	value-ac[AC-1]: 	supported: normal operation reaches the trigger	material	reject
red-extra-fifth-evidence-field	supported: released user follows the normal path	present: operation loses state	value-ac[AC-1]: state remains durable	supported: normal operation reaches the trigger	material	reject	unexpected: fifth evidence field
